,Year,Province_of_Study,Dguid,Levelofstudy,Statistics,Unit_of_measure,Value,Percent
58,2010,Canada,2016A000011124,Bachelor's,Under age 25 at graduation,Percent,59.0,-4.838709677419355
59,2010,Canada,2016A000011124,Bachelor's,Pursued further postsecondary education between graduation and time of interview,Percent,49.0,16.666666666666664
60,2010,Canada,2016A000011124,Master's,Number of graduates,Number,48700.0,37.960339943342774
61,2010,Canada,2016A000011124,Master's,Females,Percent,62.0,10.714285714285714
62,2010,Canada,2016A000011124,Master's,Average age at graduation,Years,32.0,0.0
63,2010,Canada,2016A000011124,Master's,Median age at graduation,Years,28.0,-3.4482758620689653
64,2010,Canada,2016A000011124,Master's,Under age 25 at graduation,Percent,16.0,14.285714285714285
65,2010,Canada,2016A000011124,Master's,Pursued further postsecondary education between graduation and time of interview,Percent,32.0,6.666666666666667
66,2010,Canada,2016A000011124,Doctorate,Number of graduates,Number,6600.0,88.57142857142857
67,2010,Canada,2016A000011124,Doctorate,Females,Percent,51.0,10.869565217391305
68,2010,Canada,2016A000011124,Doctorate,Average age at graduation,Years,34.0,-2.857142857142857
69,2010,Canada,2016A000011124,Doctorate,Median age at graduation,Years,32.0,-3.0303030303030303
70,2010,Canada,2016A000011124,Doctorate,Under age 25 at graduation,Percent,0.0,0.0
71,2010,Canada,2016A000011124,Doctorate,Pursued further postsecondary education between graduation and time of interview,Percent,16.0,100.0
72,2015,Canada,2016A000011124,College,Number of graduates,Number,148100.0,8.577712609970673
73,2015,Canada,2016A000011124,College,Females,Percent,56.0,0.0
74,2015,Canada,2016A000011124,College,Average age at graduation,Years,26.0,-7.142857142857142
75,2015,Canada,2016A000011124,College,Median age at graduation,Years,23.0,-4.166666666666666
76,2015,Canada,2016A000011124,College,Under age 25 at graduation,Percent,58.0,5.454545454545454
77,2015,Canada,2016A000011124,College,Pursued further postsecondary education between graduation and time of interview,Percent,37.0,5.714285714285714
78,2015,Canada,2016A000011124,Bachelor's,Number of graduates,Number,203800.0,3.609557702084393
79,2015,Canada,2016A000011124,Bachelor's,Females,Percent,61.0,0.0
80,2015,Canada,2016A000011124,Bachelor's,Average age at graduation,Years,25.0,-3.8461538461538463
81,2015,Canada,2016A000011124,Bachelor's,Median age at graduation,Years,23.0,-4.166666666666666
82,2015,Canada,2016A000011124,Bachelor's,Under age 25 at graduation,Percent,67.0,13.559322033898304
83,2015,Canada,2016A000011124,Bachelor's,Pursued further postsecondary education between graduation and time of interview,Percent,47.0,-4.081632653061225
84,2015,Canada,2016A000011124,Master's,Number of graduates,Number,62800.0,28.952772073921974
85,2015,Canada,2016A000011124,Master's,Females,Percent,58.0,-6.451612903225806
86,2015,Canada,2016A000011124,Master's,Average age at graduation,Years,31.0,-3.125
87,2015,Canada,2016A000011124,Master's,Median age at graduation,Years,28.0,0.0
88,2015,Canada,2016A000011124,Master's,Under age 25 at graduation,Percent,22.0,37.5
89,2015,Canada,2016A000011124,Master's,Pursued further postsecondary education between graduation and time of interview,Percent,26.0,-18.75
90,2015,Canada,2016A000011124,Doctorate,Number of graduates,Number,5700.0,-13.636363636363635
91,2015,Canada,2016A000011124,Doctorate,Females,Percent,47.0,-7.8431372549019605
92,2015,Canada,2016A000011124,Doctorate,Average age at graduation,Years,35.0,2.941176470588235
93,2015,Canada,2016A000011124,Doctorate,Median age at graduation,Years,32.0,0.0
94,2015,Canada,2016A000011124,Doctorate,Under age 25 at graduation,Percent,0.0,0.0
95,2015,Canada,2016A000011124,Doctorate,Pursued further postsecondary education between graduation and time of interview,Percent,14.0,-12.5
